years,Age group,Cause of death (ICD-10),VALUE
2011,15 to 19 years,"Total, all causes of death [A00-Y89]",816
2012,15 to 19 years,"Total, all causes of death [A00-Y89]",818
2013,15 to 19 years,"Total, all causes of death [A00-Y89]",707
2014,15 to 19 years,"Total, all causes of death [A00-Y89]",722
2015,15 to 19 years,"Total, all causes of death [A00-Y89]",700
2016,15 to 19 years,"Total, all causes of death [A00-Y89]",687
2017,15 to 19 years,"Total, all causes of death [A00-Y89]",732
2018,15 to 19 years,"Total, all causes of death [A00-Y89]",710
2000,15 to 19 years,Chapter II: Neoplasms [C00-D48],88
2001,15 to 19 years,Chapter II: Neoplasms [C00-D48],83
2002,15 to 19 years,Chapter II: Neoplasms [C00-D48],61
2003,15 to 19 years,Chapter II: Neoplasms [C00-D48],84
2004,15 to 19 years,Chapter II: Neoplasms [C00-D48],68
2005,15 to 19 years,Chapter II: Neoplasms [C00-D48],65
2006,15 to 19 years,Chapter II: Neoplasms [C00-D48],68
2007,15 to 19 years,Chapter II: Neoplasms [C00-D48],66
2008,15 to 19 years,Chapter II: Neoplasms [C00-D48],60
2009,15 to 19 years,Chapter II: Neoplasms [C00-D48],76
2010,15 to 19 years,Chapter II: Neoplasms [C00-D48],65
2011,15 to 19 years,Chapter II: Neoplasms [C00-D48],70
2012,15 to 19 years,Chapter II: Neoplasms [C00-D48],62
2013,15 to 19 years,Chapter II: Neoplasms [C00-D48],60
2014,15 to 19 years,Chapter II: Neoplasms [C00-D48],60
2015,15 to 19 years,Chapter II: Neoplasms [C00-D48],61
2016,15 to 19 years,Chapter II: Neoplasms [C00-D48],59
2017,15 to 19 years,Chapter II: Neoplasms [C00-D48],53
2018,15 to 19 years,Chapter II: Neoplasms [C00-D48],47
2000,15 to 19 years,Malignant neoplasms [C00-C97],82
2001,15 to 19 years,Malignant neoplasms [C00-C97],77
2002,15 to 19 years,Malignant neoplasms [C00-C97],56
2003,15 to 19 years,Malignant neoplasms [C00-C97],83
2004,15 to 19 years,Malignant neoplasms [C00-C97],66
2005,15 to 19 years,Malignant neoplasms [C00-C97],61
2006,15 to 19 years,Malignant neoplasms [C00-C97],62
2007,15 to 19 years,Malignant neoplasms [C00-C97],64
2008,15 to 19 years,Malignant neoplasms [C00-C97],59
2009,15 to 19 years,Malignant neoplasms [C00-C97],71
2010,15 to 19 years,Malignant neoplasms [C00-C97],59
2011,15 to 19 years,Malignant neoplasms [C00-C97],68
2012,15 to 19 years,Malignant neoplasms [C00-C97],61
2013,15 to 19 years,Malignant neoplasms [C00-C97],56
2014,15 to 19 years,Malignant neoplasms [C00-C97],59
2015,15 to 19 years,Malignant neoplasms [C00-C97],59
2016,15 to 19 years,Malignant neoplasms [C00-C97],58
2017,15 to 19 years,Malignant neoplasms [C00-C97],50
2018,15 to 19 years,Malignant neoplasms [C00-C97],46
2000,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2001,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2002,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2003,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",4
2004,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2005,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2006,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2007,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2008,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2009,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2010,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2011,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2012,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2013,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2014,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2015,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2016,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2017,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2018,15 to 19 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2000,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],6
2001,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],4
2002,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],3
2003,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],1
2004,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],2
2005,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],1
2006,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],2
2007,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],4
2008,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],2
2009,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],1
2010,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],0
2011,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],3
2012,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],6
2013,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],2
2014,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],5
2015,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],4
2016,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],4
2017,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],5
2018,15 to 19 years,Malignant neoplasms of digestive organs [C15-C26],2
2000,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2001,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2002,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2003,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2004,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],2
2005,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2006,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2007,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2008,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2009,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2010,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2011,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2012,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2013,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2014,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2015,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],2
2016,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2017,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2018,15 to 19 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2000,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],17
2001,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2002,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2003,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2004,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2005,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2006,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],17
2007,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],19
2008,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2009,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],14
2010,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],14
2011,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],21
2012,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2013,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2014,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],14
2015,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2016,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2017,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2018,15 to 19 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2000,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2001,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2002,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2003,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2004,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2005,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2006,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2007,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2008,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2009,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2010,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2011,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2012,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2013,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2014,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2015,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2016,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2017,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2018,15 to 19 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2000,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],5
2001,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2002,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2003,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],8
2004,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],8
2005,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],7
2006,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2007,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2008,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],9
2009,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],7
2010,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],11
2011,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],8
2012,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],5
2013,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],7
2014,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],10
2015,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],7
2016,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],8
2017,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],8
2018,15 to 19 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],5
2000,15 to 19 years,Malignant neoplasm of breast [C50],0
2001,15 to 19 years,Malignant neoplasm of breast [C50],0
2002,15 to 19 years,Malignant neoplasm of breast [C50],0
2003,15 to 19 years,Malignant neoplasm of breast [C50],1
2004,15 to 19 years,Malignant neoplasm of breast [C50],0
2005,15 to 19 years,Malignant neoplasm of breast [C50],0
2006,15 to 19 years,Malignant neoplasm of breast [C50],0
2007,15 to 19 years,Malignant neoplasm of breast [C50],0
2008,15 to 19 years,Malignant neoplasm of breast [C50],0
2009,15 to 19 years,Malignant neoplasm of breast [C50],1
2010,15 to 19 years,Malignant neoplasm of breast [C50],0
2011,15 to 19 years,Malignant neoplasm of breast [C50],0
2012,15 to 19 years,Malignant neoplasm of breast [C50],0
2013,15 to 19 years,Malignant neoplasm of breast [C50],0
2014,15 to 19 years,Malignant neoplasm of breast [C50],0
2015,15 to 19 years,Malignant neoplasm of breast [C50],0
2016,15 to 19 years,Malignant neoplasm of breast [C50],0
2017,15 to 19 years,Malignant neoplasm of breast [C50],0
2018,15 to 19 years,Malignant neoplasm of breast [C50],0
2000,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],3
2001,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2002,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2003,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],0
2004,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2005,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],2
2006,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2007,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],2
2008,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],0
2009,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2010,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],0
2011,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],3
2012,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],0
2013,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],0
2014,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],0
2015,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],2
2016,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2017,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],1
2018,15 to 19 years,Malignant neoplasms of female genital organs [C51-C58],3
2000,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],2
2001,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],2
2002,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],1
2003,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],3
2004,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],0
2005,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],1
2006,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],2
2007,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],1
2008,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],3
2009,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],0
2010,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],0
2011,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],1
2012,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],0
2013,15 to 19 years,Malignant neoplasms of male genital organs [C60-C63],0
